0.5.160         fix push script
0.5.161         update travis script
0.5.162         update travis script
0.5.163         update version silencing
0.5.164         Update .gitmodules
0.5.165         Splits up ps2avrGB boards into their own folders (#2014)
0.5.166         Splits up ps2avrGB boards into their own folders (#2014)
0.5.167         Adds serial number string to USB descriptors (#1996)
0.5.168         update build script to not delete files
0.5.169         Update to drashna keymaps (#4)
0.5.17          Merge pull request #1073 from qmk/backlight_changes
0.5.170         added SS_LSFT to featured macros
0.5.171         adds planck light keyboard
0.5.172         Allow multiple process_record() calls per scan
0.5.173         I found a typo!
0.5.174         Fix build instructions in the Dactyl readme
0.5.175         Updates bootloader settings, adds file size check (#2029)
0.5.176         Update Userspace info to include Bootloader detection
0.5.177         16 byte optimization of macro ;)
0.5.178         Fixed minor typo in bootloader code
0.5.179         Change awk detector to work with mawk; fixes #2073
0.5.180         Flesh out the grave escape overrides
0.5.181         adds 'RGB_RMOD' to go through RGB modes in reverse
0.5.182         Updates to drashna keymaps and userspace (#2093)
0.5.183         F5 pin doesn't support PWM, so breathing isn't an option
0.5.184         move lcd_backlight_keyframes to correct location
0.5.185         helper to compare current layer_state to user layer
0.5.186         helper to compare current layer_state to user layer
0.5.187         Add 'rgblight_disable' and 'rgblight_setrgb_at/rgblight_sethsv_at'
0.5.188         New Planck Layout (#2123)
0.5.189         fixes audio/midi combinations
0.5.190         Vim Layout for Ergodox-EZ (mac only) (#2112)
0.5.191         Update Drashna keymaps (#2145)
0.5.192         new planck keymap, new feature - hybrid shift/enter action key (great for small keyboards!) (#2100)
0.5.193         [budi] tv44 arrow dvorak (#2151)
0.5.194         [budi] tv44 arrow dvorak (#2151)
0.5.195         Add my keymap for dz60
0.5.196         Unsign key argument in add_key_to_report
0.5.197         k_type: add belak keymap
0.5.198         Add on/off/toggle keycodes for Auto Shift
0.5.199         Zweihander: remove app keys, etc. (#2167)
0.5.2           [skip build] testing travis script
0.5.20          don't try to build the readme
0.5.200         Adding a Zelda Treasure sound.
0.5.201         Fix of #2094
0.5.202         Fix of #2094
0.5.203         Clean up and tweaks of drashna keymaps and userspace (#2200)
0.5.204         backlight breathing overhaul (#2187)
0.5.205         update avr url
0.5.206         ADD RGBLIGHT_LIMIT_VAL (#2214)
0.5.207         Update the urls for atmel tools
0.5.208         Halfkeyboard functionality for dvorak and qwerty (#2261)
0.5.209         Updated files to better support sockets version (#2255)
0.5.21          Merge pull request #1082 from priyadi/right-side-dual-function
0.5.210         Adding my Tada68 Keymap.
0.5.211         Reset color after submodule warning message
0.5.212         Fix up the ARM audio support (#2136)
0.5.213         Update to drashna keymaps (#2281)
0.5.214         Backlighting for JJ40 and underglow initialisation code (#2260)
0.5.215         Enable FPU on Clueboard60
0.5.216         Add SSD1306 OLED display support to TKC1800 (#2293)
0.5.217         update sed to work on mac
0.5.218         Always copy the firmware file to the root qmk_firmware directory (#2314)
0.5.219         Imperial Match (Darth Vader's Theme) added
0.5.22          Merge pull request #1089 from priyadi/fix_ps2_mouse_warning
0.5.220         updated xd75 layout (#2321)
0.5.221         Add smt keymap for KBD75
0.5.222         🔧 create info.json for Infinity Ergodox (#2267)
0.5.223         Personal BEAKL9 based keymap (#2304)
0.5.224         Update personal layouts, free up matrix_scan_user for JJ40 (#2319)
0.5.225         just a planck layout (#2320)
0.5.226         Added dz60 custom layout (#2302)
0.5.227         Added personal nyquist & levinson layouts
0.5.228         made kelorean keymaps for planck and s65x (#2331)
